"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GA4","GF1","KA1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"83746099999","2011-07-18T11:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","040,1,N,0015,1","00300,1,9,N","004000,1,N,1","+0200,1","+0170,1","99999,9",,"07,1,+00300,1,99,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10169,1,99999,9","10,1",,,,"MET054METAR SBGL 181100Z 04003KT 4000 BR BKN010 20/17 Q1017;",
"83746099999","2011-07-18T12:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","050,1,N,0010,1","22000,1,9,N","004000,1,N,1","+0220,1","+0180,1","99999,9",,"02,1,+00240,1,99,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,"10169,1,99999,9","10,1",,,,"MET054METAR SBGL 181200Z 05002KT 4000 BR FEW008 22/18 Q1017;",
"83746099999","2011-07-18T13:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","010,1,N,0021,1","00360,1,9,N","004000,1,N,1","+0220,1","+0180,1","99999,9",,"07,1,+00360,1,99,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10169,1,99999,9","05,1",,,,"MET054METAR SBGL 181300Z 01004KT 4000 HZ BKN012 22/18 Q1017;",
"83746099999","2011-07-18T14:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","350,1,N,0031,1","22000,1,9,N","004000,1,N,1","+0230,1","+0180,1","99999,9",,"02,1,+00360,1,99,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,"10169,1,99999,9","05,1",,,,"MET054METAR SBGL 181400Z 35006KT 4000 HZ FEW012 23/18 Q1017;",
"83746099999","2011-07-18T15:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","130,1,N,0015,1","22000,1,9,N","004000,1,N,1","+0250,1","+0180,1","99999,9",,"02,1,+00360,1,99,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,"10159,1,99999,9","05,1",,,,"MET054METAR SBGL 181500Z 13003KT 4000 HZ FEW012 25/18 Q1016;",
"83746099999","2011-07-18T16:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","160,1,N,0051,1","22000,1,9,N","004000,1,N,1","+0250,1","+0180,1","99999,9",,"02,1,+00360,1,99,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,"10149,1,99999,9","05,1",,,,"MET054METAR SBGL 181600Z 16010KT 4000 HZ FEW012 25/18 Q1015;",
"83746099999","2011-07-18T17:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","150,1,N,0062,1","22000,1,9,N","006000,1,N,1","+0240,1","+0180,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,"10149,1,99999,9",,,,,"MET048METAR SBGL 181700Z 15012KT 6000 NSC 24/18 Q1015;","Q01    003SCCGA1"
"83746099999","2011-07-18T18:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","150,1,N,0062,1","22000,1,9,N","006000,1,N,1","+0240,1","+0170,1","99999,9",,"02,1,+00900,1,99,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,"10139,1,99999,9",,,,,"MET051METAR SBGL 181800Z 15012KT 6000 FEW030 24/17 Q1014;",
"83746099999","2011-07-18T19:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","140,1,N,0051,1","03000,1,9,N","006000,1,N,1","+0230,1","+0180,1","99999,9",,"02,1,+00900,1,99,9","07,1,+03000,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10139,1,99999,9",,,,,"MET058METAR SBGL 181900Z 14010KT 6000 FEW030 BKN100 23/18 Q1014;",
"83746099999","2011-07-18T20:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","150,1,N,0046,1","03000,1,9,N","006000,1,N,1","+0220,1","+0180,1","99999,9",,"02,1,+00900,1,99,9","07,1,+03000,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10149,1,99999,9",,,,,"MET058METAR SBGL 182000Z 15009KT 6000 FEW030 BKN100 22/18 Q1015;",
"83746099999","2011-07-18T21:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","150,1,N,0031,1","03000,1,9,N","006000,1,N,1","+0220,1","+0180,1","99999,9",,"02,1,+00900,1,99,9","07,1,+03000,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10149,1,99999,9",,,,,"MET058METAR SBGL 182100Z 15006KT 6000 FEW030 BKN100 22/18 Q1015;",
"83746099999","2011-07-18T22:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","170,1,N,0026,1","00900,1,9,N","006000,1,N,1","+0220,1","+0180,1","99999,9",,"07,1,+00900,1,99,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10159,1,99999,9",,,,,"MET051METAR SBGL 182200Z 17005KT 6000 BKN030 22/18 Q1016;",
"83746099999","2011-07-18T23:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","150,1,N,0015,1","00600,1,9,N","006000,1,N,1","+0220,1","+0180,1","99999,9",,"07,1,+00600,1,99,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10159,1,99999,9",,,,,"MET051METAR SBGL 182300Z 15003KT 6000 BKN020 22/18 Q1016;",
"83746099999","2011-07-19T00:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","120,1,N,0021,1","00600,1,9,N","005000,1,N,1","+0220,1","+0180,1","99999,9",,"02,1,+00450,1,99,9","07,1,+00600,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10169,1,99999,9","10,1",,,,"MET061METAR SBGL 190000Z 12004KT 5000 BR FEW015 BKN020 22/18 Q1017;",
"83746099999","2011-07-19T01:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","120,1,N,0015,1","00600,1,9,N","007000,1,N,1","+0220,1","+0180,1","99999,9",,"02,1,+00450,1,99,9","07,1,+00600,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10169,1,99999,9",,,,,"MET058METAR SBGL 190100Z 12003KT 7000 FEW015 BKN020 22/18 Q1017;",
"83746099999","2011-07-19T02:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","250,1,N,0036,1","00600,1,9,N","007000,1,N,1","+0220,1","+0180,1","99999,9",,"02,1,+00450,1,99,9","07,1,+00600,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10169,1,99999,9",,,,,"MET058METAR SBGL 190200Z 25007KT 7000 FEW015 BKN020 22/18 Q1017;",
"83746099999","2011-07-19T03:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","260,1,N,0026,1","00600,1,9,N","011265,1,N,1","+0210,1","+0180,1","99999,9",,"07,1,+00600,1,99,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10169,1,99999,9",,,,,"MET051METAR SBGL 190300Z 26005KT 9999 BKN020 21/18 Q1017;",
"83746099999","2011-07-19T04:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","270,1,N,0010,1","00600,1,9,N","011265,1,N,1","+0210,1","+0180,1","99999,9",,"07,1,+00600,1,99,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10169,1,99999,9",,,,,"MET051METAR SBGL 190400Z 27002KT 9999 BKN020 21/18 Q1017;",
"83746099999","2011-07-19T05:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","270,1,N,0015,1","00600,1,9,N","011265,1,N,1","+0210,1","+0180,1","99999,9",,"07,1,+00600,1,99,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10169,1,99999,9",,,,,"MET051METAR SBGL 190500Z 27003KT 9999 BKN020 21/18 Q1017;",
"83746099999","2011-07-19T06:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","270,1,N,0026,1","00600,1,9,N","007000,1,N,1","+0210,1","+0180,1","99999,9",,"07,1,+00600,1,99,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10180,1,99999,9",,,,,"MET051METAR SBGL 190600Z 27005KT 7000 BKN020 21/18 Q1018;",
"83746099999","2011-07-19T07:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","230,1,N,0021,1","00600,1,9,N","005000,1,N,1","+0210,1","+0170,1","99999,9",,"07,1,+00600,1,99,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10180,1,99999,9","10,1",,,,"MET054METAR SBGL 190700Z 23004KT 5000 BR BKN020 21/17 Q1018;",
"83746099999","2011-07-19T08:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","170,1,N,0010,1","00600,1,9,N","007000,1,N,1","+0210,1","+0180,1","99999,9",,"07,1,+00600,1,99,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10180,1,99999,9",,,,,"MET051METAR SBGL 190800Z 17002KT 7000 BKN020 21/18 Q1018;",
"83746099999","2011-07-19T09:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","290,1,N,0026,1","00600,1,9,N","007000,1,N,1","+0210,1","+0180,1","99999,9",,"02,1,+00450,1,99,9","07,1,+00600,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10180,1,99999,9",,,,,"MET058METAR SBGL 190900Z 29005KT 7000 FEW015 BKN020 21/18 Q1018;",
"83746099999","2011-07-19T10:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","330,1,N,0021,1","00600,1,9,N","006000,1,N,1","+0210,1","+0180,1","99999,9",,"02,1,+00300,1,99,9","07,1,+00600,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10180,1,99999,9",,,,,"MET058METAR SBGL 191000Z 33004KT 6000 FEW010 BKN020 21/18 Q1018;",
"83746099999","2011-07-19T11:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","250,1,N,0015,1","00600,1,9,N","005000,1,N,1","+0220,1","+0180,1","99999,9",,"04,1,+00300,1,99,9","07,1,+00600,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10180,1,99999,9","10,1",,,,"MET061METAR SBGL 191100Z 25003KT 5000 BR SCT010 BKN020 22/18 Q1018;",
"83746099999","2011-07-19T12:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","200,1,N,0026,1","00390,1,9,N","005000,1,N,1","+0230,1","+0180,1","99999,9",,"04,1,+00180,1,99,9","07,1,+00390,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10190,1,99999,9","10,1",,,,"MET061METAR SBGL 191200Z 20005KT 5000 BR SCT006 BKN013 23/18 Q1019;",
